timestamp,open,high,low,close,volume,volume_quote,symbol,price_change
2024-08-07,8e-08,8.1e-08,7.7e-08,7.7e-08,4830221976723.218,380291.87812148104,XEN-USDT,-4.9383
2024-08-08,7.7e-08,8.6e-08,7.3e-08,8.5e-08,2851972249722.883,224493.3912633243,XEN-USDT,10.3896
2024-08-09,8.5e-08,9.1e-08,8e-08,8.2e-08,4719892993209.971,399235.26997327793,XEN-USDT,-3.5294
2024-08-10,8.1e-08,9e-08,8e-08,8.4e-08,2068425014186.3926,177175.61422990973,XEN-USDT,2.439
2024-08-11,8.5e-08,8.6e-08,8e-08,8.2e-08,1927402284968.45,163112.6390155042,XEN-USDT,-2.381
2024-08-12,8.2e-08,8.7e-08,7.7e-08,8.3e-08,2648715131303.2715,210642.11965569516,XEN-USDT,1.2195
2024-08-13,8.3e-08,8.7e-08,8.1e-08,8.1e-08,1172257272131.4636,98178.6522600117,XEN-USDT,-2.4096
2024-08-14,8.2e-08,8.7e-08,8.2e-08,8.3e-08,1404537835410.543,118214.23600181514,XEN-USDT,2.4691
2024-08-15,8.2e-08,8.6e-08,8.1e-08,8.6e-08,64964288016.64,5458.35736208568,XEN-USDT,3.6145
2024-08-16,8.6e-08,8.7e-08,7.6e-08,7.8e-08,2942953542063.96,235383.4393394917,XEN-USDT,-9.3023
2024-08-17,7.9e-08,8.2e-08,7.8e-08,8.1e-08,2419275737237.76,193457.19694196808,XEN-USDT,3.8462
2024-08-18,8.2e-08,8.2e-08,7.6e-08,7.9e-08,1613609863919.1406,129111.27315523694,XEN-USDT,-2.4691
2024-08-19,8e-08,8.2e-08,7.4e-08,7.5e-08,1612581111175.91,123319.48094699388,XEN-USDT,-5.0633
2024-08-20,7.7e-08,8.9e-08,7.5e-08,8e-08,1053801906112.0994,84906.21684834769,XEN-USDT,6.6667
2024-08-21,8e-08,8.4e-08,7.7e-08,8.2e-08,1516275236492.4927,120661.3019120931,XEN-USDT,2.5
